case,x_m,Nu,Nu_reference,Cf,Cf_reference,q_wall_W_m2
medium,0.40625,54.2232450429468,51.04111193363978,0.006329173471005755,0.005731867709549103,343.02459017938037
medium,0.4270833333333333,54.01972847197506,50.948235989748106,0.006162615055428431,0.005590318264318069,325.0670099659924
medium,0.44791666666666663,53.98010090559431,50.99673411656102,0.006008750954392094,0.0054587629362531885,309.7202440797263
medium,0.46875,54.05965922405522,51.147983058488464,0.0058660162232135925,0.005336078439684783,296.39109163908677
medium,0.4895833333333333,54.228047132630834,51.37567393926376,0.005733105293069559,0.00522131064933239,284.662633799206
medium,0.5104166666666666,54.46392282973821,51.66127150921452,0.005608919859292247,0.005113643196174081,274.2314089908778
medium,0.53125,54.75185274789994,51.99135326095308,0.005492528815253689,0.005012372907099532,264.87013941101713
medium,0.5520833333333333,55.080412528848186,52.355974955783275,0.005383137146804138,0.0049168903928119385,256.4045165871213
medium,0.5729166666666666,55.440978721569074,52.74762665435872,0.005280061568046608,0.004826664555365322,248.69815036700953
medium,0.59375,55.82693371423479,53.160543599887184,0.00518271128242262,0.004741230113072655,241.64247519256153
medium,0.6145833333333333,56.23312741549268,53.59023835862548,0.005090572679624928,0.004660177471980821,235.14978298220944
medium,0.6354166666666666,56.65550373108948,54.033175357019424,0.005003197084580806,0.004583144439497478,229.14829312351475
medium,0.65625,57.090835857536874,54.48653961599327,0.004920190896656494,0.004509809396864699,223.57858766303966
medium,0.6770833333333333,57.536535255936734,54.94806931672996,0.004841207620278821,0.004439885636349545,218.39098428222636
medium,0.6979166666666666,57.9905116566684,55.415932551376685,0.004765941409508695,0.004373116635390917,213.543567700496
medium,0.71875,58.45106915553691,55.88863524392395,0.004694121840789448,0.004309272089833592,209.00069249353723
medium,0.7395833333333333,58.916828355124984,56.36495143630451,0.004625509698910413,0.004248144566237034,204.73182946164
medium,0.7604166666666666,59.38666769542243,56.84386986917843,0.004559893618042907,0.004189546662223315,200.71066649061132
medium,0.78125,59.85967926214674,57.3245526000606,0.004497087468752812,0.004133308586191126,196.91440090075795
medium,0.8020833333333333,60.335135867820135,57.80630262645925,0.004436928430227665,0.004079276085114326,193.32317819881283
medium,0.8229166666666666,60.81246734805751,58.288538323510934,0.0043792757441413754,0.004027308662767698,189.91964486218674
medium,0.84375,61.291245061354964,58.770773093133265,0.00432401023452437,0.0039772780414687285,186.68859236466048
medium,0.8645833333333333,61.77117486063077,59.25259903765525,0.00427103490569025,0.00392906682895554,183.61667785078106
medium,0.8854166666666666,62.252097300064236,59.7336737692227,0.004220277025976614,0.003882567358835548,180.69220524555118
medium,0.90625,62.733969015196855,60.213709682865684,0.004171683776625102,0.0038376806785143654,177.9048831658548
medium,0.9270833333333333,63.216993440144414,60.6924651801245,0.004125196213688298,0.00379431566293743,175.2460294556453
medium,0.9479166666666666,63.70481414980463,61.16973744808831,0.004081468529713207,0.0037523882360688456,172.71705216527255
medium,0.96875,64.19885831330383,61.645356487055146,0.00404701360062443,0.0037118206849635943,170.31335831245508
medium,0.9895833333333333,64.28116907704153,62.1191801468031,0.003920363687828439,0.0036725410536935007,166.941579312502
fine,0.006944444444444444,0.0,nan,0.1318991152413794,0.04384035795048489,0.0
fine,0.020833333333333332,0.0,nan,0.055934626049773443,0.025311242464082,0.0
fine,0.034722222222222224,0.0,nan,0.031002074879454604,0.019606004107041514,0.0
fine,0.048611111111111105,8.610438869614324e-14,nan,0.02293016526757605,0.016570097789290906,4.552216024095528e-12
fine,0.0625,2.2141128521865407e-13,nan,0.01911128596532886,0.014613452650161628,9.104432048191057e-12
fine,0.0763888888888889,4.059206895675325e-13,nan,0.01672956404696496,0.013218365272421147,1.3656648072286584e-11
fine,0.09027777777777776,0.0,nan,0.01504701104395388,0.012159127578859126,0.0
fine,0.10416666666666666,0.0,nan,0.013774073065380074,0.011319531748933326,0.0
fine,0.11805555555555555,0.0,nan,0.012767039248278047,0.010632848617337423,0.0
fine,0.13194444444444445,2.3371191217524595e-13,nan,0.011944873633385375,0.010057667892358606,4.552216024095528e-12
fine,0.14583333333333331,-2.583131660884297e-13,nan,0.011257745802709608,0.009566750419145528,-4.552216024095528e-12
fine,0.1597222222222222,2.829144200016135e-13,nan,0.010672978772723721,0.009141346550097776,4.552216024095528e-12
fine,0.1736111111111111,-1.5375783695739865e-12,nan,0.010168054142108151,0.008768071590096977,-2.276108012047764e-11
